func,dim_bin,budget_tier,algo,win_count,n_instances_in_group
ackley,d<=10,1000xD,PSO_STD,0,20
ackley,d<=10,1000xD,PSO_CONSTR,0,20
ackley,d<=10,1000xD,PSO_RING,11,20
ackley,d<=10,1000xD,DE,2,20
ackley,d<=10,1000xD,GA,0,20
ackley,d<=10,1000xD,ES_ML,7,20
ackley,d<=10,1000xD,GWO,0,20
ackley,d<=10,1000xD,MFO,0,20
ackley,d<=10,1000xD,WOA,0,20
ackley,d<=10,1000xD,FA,0,20
ackley,d<=10,1000xD,BA,0,20
ackley,d<=10,1000xD,ALO,0,20
ackley,d<=10,200xD,PSO_STD,0,20
ackley,d<=10,200xD,PSO_CONSTR,0,20
ackley,d<=10,200xD,PSO_RING,0,20
ackley,d<=10,200xD,DE,0,20
ackley,d<=10,200xD,GA,0,20
ackley,d<=10,200xD,ES_ML,13,20
ackley,d<=10,200xD,GWO,7,20
ackley,d<=10,200xD,MFO,0,20
ackley,d<=10,200xD,WOA,0,20
ackley,d<=10,200xD,FA,0,20
ackley,d<=10,200xD,BA,0,20
ackley,d<=10,200xD,ALO,0,20
ackley,d<=5,1000xD,PSO_STD,0,20
ackley,d<=5,1000xD,PSO_CONSTR,1,20
ackley,d<=5,1000xD,PSO_RING,0,20
ackley,d<=5,1000xD,DE,0,20
ackley,d<=5,1000xD,GA,0,20
ackley,d<=5,1000xD,ES_ML,19,20
ackley,d<=5,1000xD,GWO,0,20
ackley,d<=5,1000xD,MFO,0,20
ackley,d<=5,1000xD,WOA,0,20
ackley,d<=5,1000xD,FA,0,20
ackley,d<=5,1000xD,BA,0,20
ackley,d<=5,1000xD,ALO,0,20
ackley,d<=5,200xD,PSO_STD,0,20
ackley,d<=5,200xD,PSO_CONSTR,8,20
ackley,d<=5,200xD,PSO_RING,0,20
ackley,d<=5,200xD,DE,0,20
ackley,d<=5,200xD,GA,0,20
ackley,d<=5,200xD,ES_ML,7,20
ackley,d<=5,200xD,GWO,4,20
ackley,d<=5,200xD,MFO,0,20
ackley,d<=5,200xD,WOA,1,20
ackley,d<=5,200xD,FA,0,20
ackley,d<=5,200xD,BA,0,20
ackley,d<=5,200xD,ALO,0,20
griewank,d<=10,1000xD,PSO_STD,0,20
griewank,d<=10,1000xD,PSO_CONSTR,0,20
griewank,d<=10,1000xD,PSO_RING,10,20
griewank,d<=10,1000xD,DE,2,20
griewank,d<=10,1000xD,GA,0,20
griewank,d<=10,1000xD,ES_ML,7,20
griewank,d<=10,1000xD,GWO,0,20
griewank,d<=10,1000xD,MFO,0,20
griewank,d<=10,1000xD,WOA,0,20
griewank,d<=10,1000xD,FA,1,20
griewank,d<=10,1000xD,BA,0,20
griewank,d<=10,1000xD,ALO,0,20
griewank,d<=10,200xD,PSO_STD,3,20
griewank,d<=10,200xD,PSO_CONSTR,0,20
griewank,d<=10,200xD,PSO_RING,0,20
griewank,d<=10,200xD,DE,0,20
griewank,d<=10,200xD,GA,0,20
griewank,d<=10,200xD,ES_ML,13,20
griewank,d<=10,200xD,GWO,4,20
griewank,d<=10,200xD,MFO,0,20
griewank,d<=10,200xD,WOA,0,20
griewank,d<=10,200xD,FA,0,20
griewank,d<=10,200xD,BA,0,20
griewank,d<=10,200xD,ALO,0,20
griewank,d<=5,1000xD,PSO_STD,0,20
griewank,d<=5,1000xD,PSO_CONSTR,1,20
griewank,d<=5,1000xD,PSO_RING,18,20
griewank,d<=5,1000xD,DE,1,20
griewank,d<=5,1000xD,GA,0,20
griewank,d<=5,1000xD,ES_ML,0,20
griewank,d<=5,1000xD,GWO,0,20
griewank,d<=5,1000xD,MFO,0,20
griewank,d<=5,1000xD,WOA,0,20
griewank,d<=5,1000xD,FA,0,20
griewank,d<=5,1000xD,BA,0,20
griewank,d<=5,1000xD,ALO,0,20
griewank,d<=5,200xD,PSO_STD,3,20
griewank,d<=5,200xD,PSO_CONSTR,6,20
griewank,d<=5,200xD,PSO_RING,2,20
griewank,d<=5,200xD,DE,0,20
griewank,d<=5,200xD,GA,0,20
griewank,d<=5,200xD,ES_ML,3,20
griewank,d<=5,200xD,GWO,6,20
griewank,d<=5,200xD,MFO,0,20
griewank,d<=5,200xD,WOA,0,20
griewank,d<=5,200xD,FA,0,20
griewank,d<=5,200xD,BA,0,20
griewank,d<=5,200xD,ALO,0,20
rastrigin,d<=10,1000xD,PSO_STD,1,20
rastrigin,d<=10,1000xD,PSO_CONSTR,0,20
rastrigin,d<=10,1000xD,PSO_RING,10,20
rastrigin,d<=10,1000xD,DE,0,20
rastrigin,d<=10,1000xD,GA,0,20
rastrigin,d<=10,1000xD,ES_ML,2,20
rastrigin,d<=10,1000xD,GWO,0,20
rastrigin,d<=10,1000xD,MFO,0,20
rastrigin,d<=10,1000xD,WOA,1,20
rastrigin,d<=10,1000xD,FA,0,20
rastrigin,d<=10,1000xD,BA,0,20
rastrigin,d<=10,1000xD,ALO,6,20
rastrigin,d<=10,200xD,PSO_STD,1,20
rastrigin,d<=10,200xD,PSO_CONSTR,1,20
rastrigin,d<=10,200xD,PSO_RING,0,20
rastrigin,d<=10,200xD,DE,0,20
rastrigin,d<=10,200xD,GA,0,20
rastrigin,d<=10,200xD,ES_ML,7,20
rastrigin,d<=10,200xD,GWO,11,20
rastrigin,d<=10,200xD,MFO,0,20
rastrigin,d<=10,200xD,WOA,0,20
rastrigin,d<=10,200xD,FA,0,20
rastrigin,d<=10,200xD,BA,0,20
rastrigin,d<=10,200xD,ALO,0,20
rastrigin,d<=5,1000xD,PSO_STD,1,20
rastrigin,d<=5,1000xD,PSO_CONSTR,1,20
rastrigin,d<=5,1000xD,PSO_RING,16,20
rastrigin,d<=5,1000xD,DE,0,20
rastrigin,d<=5,1000xD,GA,0,20
rastrigin,d<=5,1000xD,ES_ML,0,20
rastrigin,d<=5,1000xD,GWO,0,20
rastrigin,d<=5,1000xD,MFO,0,20
rastrigin,d<=5,1000xD,WOA,1,20
rastrigin,d<=5,1000xD,FA,0,20
rastrigin,d<=5,1000xD,BA,0,20
rastrigin,d<=5,1000xD,ALO,1,20
rastrigin,d<=5,200xD,PSO_STD,1,20
rastrigin,d<=5,200xD,PSO_CONSTR,4,20
rastrigin,d<=5,200xD,PSO_RING,0,20
rastrigin,d<=5,200xD,DE,0,20
rastrigin,d<=5,200xD,GA,0,20
rastrigin,d<=5,200xD,ES_ML,4,20
rastrigin,d<=5,200xD,GWO,10,20
rastrigin,d<=5,200xD,MFO,0,20
rastrigin,d<=5,200xD,WOA,1,20
rastrigin,d<=5,200xD,FA,0,20
rastrigin,d<=5,200xD,BA,0,20
rastrigin,d<=5,200xD,ALO,0,20
rosenbrock,d<=10,1000xD,PSO_STD,1,20
rosenbrock,d<=10,1000xD,PSO_CONSTR,1,20
rosenbrock,d<=10,1000xD,PSO_RING,2,20
rosenbrock,d<=10,1000xD,DE,15,20
rosenbrock,d<=10,1000xD,GA,0,20
rosenbrock,d<=10,1000xD,ES_ML,1,20
rosenbrock,d<=10,1000xD,GWO,0,20
rosenbrock,d<=10,1000xD,MFO,0,20
rosenbrock,d<=10,1000xD,WOA,0,20
rosenbrock,d<=10,1000xD,FA,0,20
rosenbrock,d<=10,1000xD,BA,0,20
rosenbrock,d<=10,1000xD,ALO,0,20
rosenbrock,d<=10,200xD,PSO_STD,1,20
rosenbrock,d<=10,200xD,PSO_CONSTR,0,20
rosenbrock,d<=10,200xD,PSO_RING,0,20
rosenbrock,d<=10,200xD,DE,0,20
rosenbrock,d<=10,200xD,GA,0,20
rosenbrock,d<=10,200xD,ES_ML,10,20
rosenbrock,d<=10,200xD,GWO,8,20
rosenbrock,d<=10,200xD,MFO,0,20
rosenbrock,d<=10,200xD,WOA,0,20
rosenbrock,d<=10,200xD,FA,0,20
rosenbrock,d<=10,200xD,BA,0,20
rosenbrock,d<=10,200xD,ALO,1,20
rosenbrock,d<=5,1000xD,PSO_STD,0,20
rosenbrock,d<=5,1000xD,PSO_CONSTR,0,20
rosenbrock,d<=5,1000xD,PSO_RING,0,20
rosenbrock,d<=5,1000xD,DE,20,20
rosenbrock,d<=5,1000xD,GA,0,20
rosenbrock,d<=5,1000xD,ES_ML,0,20
rosenbrock,d<=5,1000xD,GWO,0,20
rosenbrock,d<=5,1000xD,MFO,0,20
rosenbrock,d<=5,1000xD,WOA,0,20
rosenbrock,d<=5,1000xD,FA,0,20
rosenbrock,d<=5,1000xD,BA,0,20
rosenbrock,d<=5,1000xD,ALO,0,20
rosenbrock,d<=5,200xD,PSO_STD,2,20
rosenbrock,d<=5,200xD,PSO_CONSTR,6,20
rosenbrock,d<=5,200xD,PSO_RING,0,20
rosenbrock,d<=5,200xD,DE,0,20
rosenbrock,d<=5,200xD,GA,0,20
rosenbrock,d<=5,200xD,ES_ML,5,20
rosenbrock,d<=5,200xD,GWO,4,20
rosenbrock,d<=5,200xD,MFO,0,20
rosenbrock,d<=5,200xD,WOA,3,20
rosenbrock,d<=5,200xD,FA,0,20
rosenbrock,d<=5,200xD,BA,0,20
rosenbrock,d<=5,200xD,ALO,0,20
sphere,d<=10,1000xD,PSO_STD,0,20
sphere,d<=10,1000xD,PSO_CONSTR,7,20
sphere,d<=10,1000xD,PSO_RING,0,20
sphere,d<=10,1000xD,DE,0,20
sphere,d<=10,1000xD,GA,0,20
sphere,d<=10,1000xD,ES_ML,13,20
sphere,d<=10,1000xD,GWO,0,20
sphere,d<=10,1000xD,MFO,0,20
sphere,d<=10,1000xD,WOA,0,20
sphere,d<=10,1000xD,FA,0,20
sphere,d<=10,1000xD,BA,0,20
sphere,d<=10,1000xD,ALO,0,20
